jv_id,art_o_richness
S090078.1,2
S090077.1,1
S090075.1,1
S090074.1,4
S090068.1,1
S090067.1,1
S090065.1,1
S088693.1,1
S088692.1,1
S088690.1,3
S088682.1,5
S088680.1,3
S088679.1,0
S088678.1,0
S088676.1,1
S088674.1,2
S088673.1,1
S088672.1,1
S088671.1,1
S088670.1,1
S088668.1,3
S088667.1,1
S088666.1,1
S088663.1,1
S088661.1,3
S088660.1,2
S088656.1,1
S088654.1,2
S088649.1,1
S088648.1,1
S088646.1,1
S088644.1,1
S088643.1,1
S088641.1,1
S088639.1,1
S088636.1,1
S088632.1,0
S088630.1,1
S088629.1,2
S088628.1,1
S088626.1,1
S088624.1,1
S088622.1,1
S088613.1,0
S088611.1,2
S088608.1,2
S088606.1,3
S088602.1,3
S088677.0,0
S088686.0,0
S088688.0,0
S088681.0,0
S088685.0,0
S088683.0,0
S088675.0,0
S088669.0,0
S090082.0,0
S088689.0,0
S090080.0,0
S090070.0,0
S090076.0,0
S090084.0,0
S090083.0,0
S090085.0,0
S088665.0,0
S088662.0,0
S088659.0,0
S088658.0,0
S088657.0,0
S088655.0,0
S088653.0,0
S088652.0,0
S090081.0,0
S090066.0,0
S090072.0,0
S090071.0,0
S088687.0,0
S090069.0,0
S090073.0,0
S088691.0,0
S090064.0,0
S088684.0,0
S088637.0,0
S088635.0,0
S088634.0,0
S088633.0,0
S088631.0,0
S088627.0,0
S088625.0,0
S088623.0,0
S088620.0,0
S088619.0,0
S088618.0,0
S088617.0,0
S088616.0,0
S090079.0,0
S088651.0,0
S088650.0,0
S088647.0,0
S088664.0,0
S088642.0,0
S088638.0,0
S088645.0,0
S088640.0,0
S088607.0,0
S088605.0,0
S088604.0,0
S088603.0,0
S088601.0,0
S088614.0,0
S088612.0,0
S088615.0,0
S088610.0,0
S088609.0,0
S088621.0,0
