jv_id,trnl_f
S090085.1,2
S090084.1,2
S090083.1,5
S090082.1,2
S090081.1,1
S090080.1,1
S090079.1,2
S090078.1,1
S090076.1,2
S090075.1,4
S090074.1,3
S090073.1,2
S090071.1,2
S090070.1,2
S090068.1,1
S090067.1,4
S090066.1,3
S090065.1,3
S090064.1,3
S088693.1,1
S088692.1,4
S088691.1,2
S088690.1,2
S088689.1,2
S088688.1,1
S088687.1,3
S088686.1,2
S088685.1,3
S088684.1,3
S088683.1,1
S088682.1,8
S088681.1,1
S088680.1,7
S088679.1,4
S088678.1,1
S088677.1,1
S088676.1,3
S088675.1,5
S088674.1,4
S088673.1,5
S088672.1,3
S088671.1,2
S088670.1,3
S088669.1,1
S088668.1,4
S088667.1,2
S088666.1,4
S088665.1,3
S088664.1,4
S088663.1,4
S088662.1,2
S088661.1,2
S088660.1,5
S088659.1,3
S088657.1,2
S088656.1,2
S088655.1,1
S088654.1,4
S088653.1,2
S088652.1,1
S088651.1,3
S088650.1,2
S088649.1,2
S088648.1,2
S088647.1,3
S088646.1,4
S088645.1,2
S088644.1,2
S088643.1,2
S088642.1,2
S088641.1,4
S088640.1,3
S088639.1,3
S088638.1,3
S088636.1,1
S088635.1,1
S088634.1,2
S088632.1,3
S088631.1,1
S088630.1,2
S088629.1,2
S088628.1,4
S088627.1,3
S088626.1,1
S088625.1,4
S088624.1,3
S088623.1,2
S088622.1,7
S088621.1,3
S088618.1,1
S088617.1,1
S088616.1,1
S088615.1,3
S088614.1,3
S088611.1,3
S088610.1,3
S088609.1,2
S088608.1,12
S088607.1,2
S088606.1,4
S088605.1,3
S088604.1,1
S088603.1,2
S088602.1,5
S088601.1,3
S088658.0,0
S090077.0,0
S090072.0,0
S090069.0,0
S088637.0,0
S088633.0,0
S088620.0,0
S088619.0,0
S088613.0,0
S088612.0,0
