jv_id,trnl_g
S090085.1,1
S090084.1,1
S090083.1,2
S090082.1,2
S090081.1,1
S090080.1,1
S090079.1,1
S090078.1,1
S090076.1,2
S090075.1,4
S090074.1,2
S090073.1,2
S090071.1,1
S090070.1,2
S090068.1,1
S090067.1,1
S090066.1,3
S090065.1,2
S090064.1,3
S088693.1,0
S088692.1,2
S088691.1,2
S088690.1,2
S088689.1,2
S088688.1,0
S088687.1,1
S088686.1,2
S088685.1,0
S088684.1,2
S088683.1,0
S088682.1,4
S088681.1,1
S088680.1,2
S088679.1,2
S088678.1,0
S088677.1,0
S088676.1,2
S088675.1,3
S088674.1,2
S088673.1,2
S088672.1,2
S088671.1,1
S088670.1,2
S088669.1,0
S088668.1,1
S088667.1,2
S088666.1,4
S088665.1,3
S088664.1,1
S088663.1,3
S088662.1,2
S088661.1,2
S088660.1,3
S088659.1,3
S088657.1,1
S088656.1,1
S088655.1,1
S088654.1,4
S088653.1,1
S088652.1,0
S088651.1,3
S088650.1,1
S088649.1,1
S088648.1,0
S088647.1,1
S088646.1,3
S088645.1,2
S088644.1,1
S088643.1,1
S088642.1,1
S088641.1,3
S088640.1,1
S088639.1,1
S088638.1,1
S088636.1,1
S088635.1,1
S088634.1,2
S088632.1,3
S088631.1,1
S088630.1,3
S088629.1,2
S088628.1,4
S088627.1,2
S088626.1,1
S088625.1,2
S088624.1,4
S088623.1,1
S088622.1,4
S088621.1,1
S088618.1,1
S088617.1,1
S088616.1,1
S088615.1,2
S088614.1,2
S088611.1,2
S088610.1,1
S088609.1,1
S088608.1,10
S088607.1,2
S088606.1,3
S088605.1,2
S088604.1,1
S088603.1,1
S088602.1,3
S088601.1,3
S088658.0,0
S090077.0,0
S090072.0,0
S090069.0,0
S088637.0,0
S088633.0,0
S088620.0,0
S088619.0,0
S088613.0,0
S088612.0,0
