jv_id,trnl_s
S090085.1,1
S090084.1,0
S090083.1,0
S090082.1,1
S090081.1,0
S090080.1,0
S090079.1,0
S090078.1,1
S090076.1,0
S090075.1,2
S090074.1,0
S090073.1,1
S090071.1,0
S090070.1,0
S090068.1,0
S090067.1,1
S090066.1,2
S090065.1,0
S090064.1,0
S088693.1,0
S088692.1,0
S088691.1,0
S088690.1,0
S088689.1,0
S088688.1,0
S088687.1,0
S088686.1,1
S088685.1,0
S088684.1,0
S088683.1,0
S088682.1,1
S088681.1,0
S088680.1,0
S088679.1,0
S088678.1,0
S088677.1,0
S088676.1,1
S088675.1,2
S088674.1,0
S088673.1,0
S088672.1,1
S088671.1,0
S088670.1,0
S088669.1,0
S088668.1,0
S088667.1,1
S088666.1,2
S088665.1,2
S088664.1,0
S088663.1,1
S088662.1,1
S088661.1,1
S088660.1,2
S088659.1,0
S088657.1,0
S088656.1,1
S088655.1,0
S088654.1,1
S088653.1,0
S088652.1,0
S088651.1,1
S088650.1,0
S088649.1,0
S088648.1,0
S088647.1,0
S088646.1,0
S088645.1,0
S088644.1,0
S088643.1,1
S088642.1,0
S088641.1,1
S088640.1,1
S088639.1,0
S088638.1,0
S088636.1,0
S088635.1,0
S088634.1,1
S088632.1,0
S088631.1,0
S088630.1,0
S088629.1,0
S088628.1,1
S088627.1,0
S088626.1,0
S088625.1,0
S088624.1,2
S088623.1,1
S088622.1,2
S088621.1,0
S088618.1,1
S088617.1,0
S088616.1,0
S088615.1,0
S088614.1,2
S088611.1,1
S088610.1,0
S088609.1,0
S088608.1,4
S088607.1,2
S088606.1,0
S088605.1,0
S088604.1,0
S088603.1,0
S088602.1,1
S088601.1,1
S088658.0,0
S090077.0,0
S090072.0,0
S090069.0,0
S088637.0,0
S088633.0,0
S088620.0,0
S088619.0,0
S088613.0,0
S088612.0,0
